"RiskPerformance","ExternalRiskEstimate","MSinceOldestTradeOpen","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","NumTrades90Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTotalTrades","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NumInqLast6Mexcl7days","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance"
"Bad",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",65,176,1,19,18,0,0,100,-7,7,8,37,7,10,-7,4,4,38,100,8,2,2,59
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Good",68,258,3,117,36,1,1,90,10,0,6,41,4,18,-7,0,0,12,48,6,2,1,35
"Good",66,192,8,69,16,1,1,100,-7,0,8,17,1,29,7,0,0,15,81,3,3,1,60
"Bad",70,70,7,39,6,0,0,100,-7,7,8,6,2,17,0,0,0,96,-8,3,-8,3,75
"Good",74,170,2,10,3,0,0,100,-7,7,8,24,3,25,0,3,3,2,-8,2,1,0,75
"Bad",69,70,3,47,23,0,0,100,-7,7,8,24,2,9,-7,3,3,41,-8,13,1,2,79
"Bad",63,194,8,67,18,4,4,71,16,6,2,21,2,33,0,1,1,9,-8,1,1,0,25
"Good",80,342,8,164,22,0,0,100,-7,7,8,22,1,36,0,1,1,40,90,4,2,1,58
"Good",78,306,1,80,19,0,0,90,13,6,6,20,3,40,0,1,1,9,-8,6,1,0,64
"Bad",75,258,2,79,21,1,1,96,41,6,2,24,4,29,2,1,1,3,62,2,2,0,45
"Good",80,10,11,91,20,0,0,100,-7,7,8,1,1,0,-7,1,1,18,-8,4,-8,1,33
"Good",60,-8,6,77,18,3,3,100,-7,0,8,0,2,32,0,4,4,19,-8,2,-8,1,40
"Bad",68,136,3,62,35,2,1,92,58,6,5,37,5,54,0,2,2,68,89,8,2,2,67
"Good",82,252,51,191,13,0,0,77,21,6,6,13,0,8,-7,0,0,4,-8,1,1,0,38
"Good",76,196,3,69,14,0,0,86,37,6,6,14,3,36,-7,2,2,31,67,3,2,0,83
"Good",66,177,5,67,22,1,1,100,-7,7,8,23,3,32,0,1,1,66,85,5,2,2,80
"Good",74,215,5,75,29,1,1,87,43,6,4,42,1,32,11,0,0,57,-8,3,1,0,44
"Bad",53,320,27,122,14,2,0,61,8,4,5,18,0,11,2,1,1,64,-8,8,1,3,77
"Good",77,154,9,63,27,0,0,96,7,4,6,27,1,63,0,2,2,1,80,1,5,0,60
"Bad",56,175,2,71,22,2,1,96,3,3,5,24,3,42,0,2,2,70,70,4,6,2,69
"Bad",65,53,4,27,16,0,0,100,-7,7,8,16,5,44,0,2,2,73,79,5,4,2,100
"Bad",62,87,9,42,10,2,1,83,5,3,5,12,2,33,1,1,1,14,90,4,1,1,63
"Bad",55,205,22,147,10,4,4,83,10,1,2,12,0,33,-7,2,2,99,70,2,2,2,100
"Bad",63,208,3,42,8,0,0,100,-7,7,8,8,3,88,0,3,2,165,92,1,4,-8,100
"Bad",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"Bad",84,247,3,91,26,0,0,100,-7,7,8,26,2,27,0,2,2,44,-8,5,1,2,33
